Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
10033,NA,NA,NA,NA,NA,NA,NA,0
10036,Wax ester,NA,4779,10036,C01629,NA,NA,1
10055,NA,NA,NA,NA,NA,NA,NA,0
10093,Yohimbine,HMDB0015464,8969,10093,C09256,NA,[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2,1
10119,Ziprasidone,HMDB0014391,60854,10119,C07568,NA,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,1
101278,Diltiazem,HMDB0014487,39186,101278,C06958,NA,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,1
103854,"N-[5-(4,5-Dihydro-1H-imidazol-2-yl)-2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl]methanesulfonamide",HMDB0247729,4038180,103854,NA,NA,CS(=O)(=O)NC1=C(O)C=CC2=C1CCCC2C1=NCCN1,1
104011,4-Aminohippuric acid,HMDB0001867,2148,104011,D06890 ,6359,NC1=CC=C(C=C1)C(=O)NCC(O)=O,1
104023,"Benzoic acid, 2-[[3-(2-quinolinylmethoxy)phenyl]amino]-",HMDB0258454,128355,104023,NA,NA,OC(=O)C1=CC=CC=C1NC1=CC(OCC2=NC3=CC=CC=C3C=C2)=CC=C1,1
10545,NA,NA,NA,NA,NA,NA,NA,0
10668,tRNA precursor,NA,NA,10668,NA,NA,NA,1
10723,(2E)-Decenoyl-CoA,HMDB0003948,5280768,10723,C05275,NA,CCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,1
10983,NA,NA,NA,NA,NA,NA,NA,0
10986,NA,NA,NA,NA,NA,NA,NA,0
11230,1-acylglycerophosphocholine(1+),NA,NA,11230,NA,NA,C[N+](C)(C)CCOP(O)(=O)OCC(O)COC([*])=O,1
114785,Erlotinib,HMDB0014671,176870,114785,NA,NA,COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,1
