Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
9352,Sulindac,HMDB0014743,1548887,9352,C01531,NA,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,1
9355,NA,NA,NA,NA,NA,NA,NA,0
9380,Syringin,METPA1704,NA,9380,C01533,NA,NA,1
9427,NA,NA,NA,NA,NA,NA,NA,0
9437,TEMOPORFIN,HMDB0258804,NA,9437,C11730,NA,OC1=CC=CC(=C1)C-1=C2\CCC(=N2)\C(=C2/N\C(\C=C2)=C(/C2=N/C(/C=C2)=C(\C2=CC=C\-1N2)C1=CC(O)=CC=C1)C1=CC(O)=CC=C1)\C1=CC(O)=CC=C1,1
10033,NA,NA,NA,NA,NA,NA,NA,0
10056,Xanomeline,HMDB0259915,60809,10056,C11767,NA,CCCCCCOC1=NSN=C1C1=CCCN(C)C1,1
10112,Zileuton,HMDB0014882,60490,10112,NA,NA,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,1
10983,NA,NA,NA,NA,NA,NA,NA,0
4814,Eprosartan,HMDB0015014,5281037,4814,C07467,NA,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,1
9230,NA,NA,NA,NA,NA,NA,NA,0
9307,Succinimide,HMDB0240653,NA,9307,C07273,NA,O=C1CCC(=O)N1,1
8925,ryanodine,NA,5114,8925,NA,NA,CC(C)C1(O)C(OC(=O)C2=CC=CN2)C2(O)C3(C)CC4(O)OC5(C(O)C(C)CCC35O)C2(O)C14C,1
9008,Salicyluric acid,HMDB0000840,10253,9008,C07588,617,OC(=O)CNC(=O)C1=C(O)C=CC=C1,1
301,(R)-alpha-Phellandrene,HMDB0035851,442482,301,C09875,NA,[H][C@@]1(CC=C(C)C=C1)C(C)C,1
955,"2,6-Dimethoxyphenol",HMDB0034158,7041,955,C10787,NA,COC1=CC=CC(OC)=C1O,1
14750,"2,4-Pentanedione",HMDB0031648,31261,14750,C15499,NA,CC(=O)CC(C)=O,1
2215,NA,NA,NA,NA,NA,NA,NA,0
